id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
541083,2016,MARZO,MIERCOLES,2016-03-09,10,Robo,Robo total,NO,NO,NUÑEZ,13,-34.545083591,-58.4698526179999,1
541173,2016,ABRIL,SABADO,2016-04-30,13,Robo,Robo total,SI,NO,NUÑEZ,13,-34.551197448,-58.470760657,1
541299,2016,ABRIL,LUNES,2016-04-18,22,Robo,Robo total,NO,NO,NUÑEZ,13,-34.537600004,-58.469617203,1
541437,2016,ABRIL,LUNES,2016-04-25,13,Robo,Robo total,NO,NO,NUÑEZ,13,-34.545200284,-58.468394484,1
541452,2016,ABRIL,MARTES,2016-04-26,14,Robo,Robo total,SI,NO,NUÑEZ,13,-34.547118225,-58.4682763989999,1
541461,2016,ABRIL,LUNES,2016-04-18,10,Robo,Robo total,SI,NO,NUÑEZ,13,-34.550917855,-58.468234071,1
541470,2016,MARZO,SABADO,2016-03-05,21,Robo,Robo total,NO,NO,NUÑEZ,13,-34.537382894,-58.469227178,1
541530,2016,ABRIL,JUEVES,2016-04-21,18,Robo,Robo total,NO,SI,NUÑEZ,13,-34.5574427619999,-58.4677365759999,1
541659,2016,MAYO,DOMINGO,2016-05-01,22,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572802296,-58.473928471,1
544164,2016,DICIEMBRE,MIERCOLES,2016-12-07,11,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5453599959999,-58.469650089,1
544224,2016,DICIEMBRE,VIERNES,2016-12-09,13,Robo,Robo total,NO,SI,NUÑEZ,13,-34.5502410569999,-58.469051419,1
544296,2016,DICIEMBRE,DOMINGO,2016-12-11,19,Robo,Robo total,SI,NO,NUÑEZ,13,-34.549231944,-58.468134612,1
544326,2016,DICIEMBRE,VIERNES,2016-12-09,20,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5518192059999,-58.467810944,1
544347,2016,DICIEMBRE,DOMINGO,2016-12-11,15,Robo,Robo total,NO,SI,NUÑEZ,13,-34.555912903,-58.467676759,1
